id,titulo,genero,actor1,actor2,actor3,director,anio,calidad,formato,sinopsis
125,DUELO DE TITANES,Western,Burt Lancaster,Kirk Douglas,Rhonda Fleming,John Sturges,1957,Color,DVD,
126,MUCHACHO LOBO,Comedia,Michael J. Fox,James Hampton,Susan Ursitti,Rod Daniel,1985,Color,DVD,
127,VENGANZA JURADA (Sargento Hook),Western,Joel McCrea,Barbara Stanwyck,Earl Holliman,Charles Marquis Warren,1957,B&N,DVD,"Tras arrasar un poblado apache, los soldados encuentran entre los supervivientes a Cora (Bárbara Stanwyck), una mujer blanca que fue raptada por los indios años atrás y termina siendo rescatada por el Sargento Hook (Joel McCrea). Junto con el hijo mestizo que tuvo con Nanchez, el jefe de la tribu, es devuelta a su hogar, aunque Nanchez no piensa renunciar a su familia tan facilmente…
Fecha de estreno en Montevideo: 7-07-1959 Cine Victory."
128,CUANDO LOS DUENDES CAZAN PERDICES,Comedia,Luis Sandrini,Malvina Pastorino,Maria Esther Buschiazo,Luis Sandrini,1955,ByN,DVD,"7-07-1955 Censa
Un muchacho tímido y audaz al mismo tiempo trata de ubicar a su hermano, que fue dado en adopción cuando nació, para tratar de que lo ayude a pagar una operación a la madre.
  Basada en la obra teatral del uruguayo Orlando Aldama, que estuvo varios años en cartel."
129,RAMBO  III,Aventuras,Sylvester Stallone,Richard Crenna,Marc de Jonge,Peter Mac Donald,1988,Color,DVD,
130,SHERLOCK HOLMES,Suspenso,Clive Brook,Miriam Hordan,Ernest Torrence,William K Howard,1932,ByN,DVD,Fecha de estreno en Montevideo 10 de agosto de 1932 Cine Rex
131,LA PASION MANDA,Cine Negro,George Raft,Ida Lupino,Humphrey Bogart,Raoul Walsh,1940,B&N,DVD,
132,LA REINA AFRICANA,Aventuras,Humphrey Bogart,Katharine Hepburn,Robert Morley,John Huston,1951,Color,DVD,Fecha de Estreno: 6/10/1952 Cine: Trocadero - Eliseo
133,A LA HORA SEÑALADA,Western,Gary Cooper,Grace Kelly,Katy Jurado,Fred Zinnemann,1952,ByN,DVD,
134,LOS SATELITES DE SATAN (Serial),Ciencia Ficción,Judd Holdren,Aline Towne,Wilson Wood,Fred C Brannon,1952,ByN,DVD,
135,POR QUIEN DOBLAN LAS CAMPANAS,Drama,Gary Cooper,Ingrid Bergman,Arturo de Córdova,Sam Wood,1943,Color,DVD,
136,EL ULTIMO DINOSAURIO,Aventuras,Richard Boone,Joan Van Ark,Steven Keats,Alexander Grasshoff,1977,Color,DVD,
137,MAS CORAZON QUE ODIO,Western,John Wayne,Jeffrey Hunter,Vera Miles,John Ford,1956,Color,DVD,
139,BEN HUR,Histórica,Charlton Heston,Jack Hawkins,Stephen Boyd,William Wyler,1959,Color,DVD,
140,ADAN Y LA SERPIENTE,Comedia,Enrique Serrano,Tilda Thamar,Tito Gomez,Carlos H. Christensen,1946,B&N,DVD,"25-07-1946 Ambassador
En un hotel de Mendoza (Arg) una misteriosa dama blanca visita a los hombres en sus habitaciones.
 Christensen supo explotar la picardía de Serrano y la atracción de Tilda Thamar en una combinación osada para la época.
  De las primeras películas prohibidas para menores."
141,RIO BRAVO,Western,John Wayne,Dean Martin,Angie Dickinson,Howard Hawks,1959,Color,DVD,
142,GUERRILEROS DE LAS FILIPINAS (Patrulla Indómita),Aventuras,Tyrone Power,Micheline Presle,Tom Ewell,Fritz Lang,1950,Color,DVD,Fecha de estreno en Montevideo: 29 de junio de 1951
143,LO QUE NO SE PERDONA,Western,Burt Lancaster,Audrey Hepburn,Audie Murphy,John Huston,1959,Color,DVD,
144,FIESTA DE FIN CURSOS /EDUC.ARIZONA,Documental,Analia,Fiesta Fin de Año,Esc E.E.U.U.,Familiar,1990,Color,DVD,
145,TORNEO LIGUILLA 1990,Documental,Futbol,Racing,Peñarol,Familar,1991,Color,DVD,
146,"CHANDU, EL MAGO",Suspenso,Bela Lugosi,Edmund Lowe,Irene Ware,William Cameron Menzies,1932,B&N,DVD,Fecha de estreno en Montevideo: 20-06-1933 Cine París.
147,EL EMBRUJO DE PARIS,Comedia,Bob Hope,Fernandel,Anita Ekberg,Gerd Oswald,1958,Color,DVD,"En un crucero hacia Paris coinciden dos cómicos famosos. Mientras el francés vuelve a casa tras una gira por América, el otro va hacia Francia a comprar el guión de su próximo espectáculo. En el barco tambión viaja una señora que busca en el camarote de Bob, el cómico norteamericano, una copia del guión que quiere comprar para deshacerse de él.
13-08-1958 Censa"
148,MOBY DICK,Aventuras,Gregory Peck,Richard Basehart,Leo Genn,John Huston,1956,Color,DVD,
149,DON QUIJOTE DEL ALTILLO,Comedia,Luis Sandrini,Nuri Montse,Eduardo Sandrini,Manuel Romero,1936,ByN,DVD,"Fecha de estreno en Montevideo: 6-10-1936 Cine Ariel.
Un muchacho se enamora de su vecina de pensión, pero esta acepta los requerimientos de su patrón millonario.
Sandrini una vez más haciendo de infeliz y consuela sus penas de amor con un niño y un perro."
150,TAMBORES LEJANOS,Western,Gary Cooper,Richard Webb,Mari Aldon,Raoul Walsh,1951,Color,DVD,
151,CUPIDO MOTORIZADO SE ENAMORA,Comedia,Dean Jones,Don Knotts,Julie Sommars,Vincent McEveety,1977,Color,DVD,
152,EL DIABLO BAJO EL SOL,Policial,Peter Ustinov,Jane Birkin,James Mason,Guy Hamilton,1982,Color,DVD,
153,CINEMA PARADISO,Drama,Philippe Noiret,Salvatore Cascio,Jacques Perrin,Giuseppe Tornatore,1988,Color,DVD,
154,MAYOR DUNDEE,Western,Charlton Heston,Richard Harris,Senta Berger,Sam Peckinpah,1964,Color,DVD,
155,MUJERCITAS,Drama,Elizabeth Taylor,June Allison,Peter Lawford,Mervyn Le Roy,1949,Color,DVD,
156,VACACIONES,Comedia,Chevy Chase,Beverly D'angelo,Anthony Hall,Harold Ramis,1983,Color,DVD,
157,CHACALES DEL OESTE,Western,John Wayne,Ann Margret,Rod Taylor,Burt Kennedy,1972,Color,DVD,
158,CUENTOS NAVIDEÑOS DE MICKEY,Dibujos Animados,Mickey Mouse,Donald Duck,Goofy,Burney Mattison,1983,Color,DVD,
159,EL DIABLO,Western,Louis Gosset Jr.,Anthony Edwards,Robert Beltran,Peter Morkle,1990,Color,DVD,
160,EL PADRE ES ABUELO,Comedia,Spencer Tracy,Elizabeth Taylor,Joan Bennett,Vincente Minnelli,1950,B&N,DVD,Fecha de estreno en Montevideo 2o-12-1951
161,TARZAN EL HOMBRE MONO,Aventuras,Denny Miller,Cesare Danova,Joanna Barnes,Joseph Newman,1959,Color,DVD,4-07-1960 Metro.
162,EL ALAMO,Western,John Wayne,Richard Widmark,Laurence Harvey,John Wayne,1960,Color,DVD,"17-07-1961 18 de Julio, Radio City"
164,BERNARDO Y BIANCA,Dibujos Animados,Bob Newhart,Eva Gabor,Geraldine Page,John Lounsbery,1977,Color,DVD,Fecha de estreno en Montevideo:26-06-1978. Censa
165,MUERTE EN VENECIA,Drama,Dick Bogarde,Bjorn Andressen,Silvana Mangano,Luchino Visconti,1971,Color,DVD,Fecha de estreno en Montevideo: 26-01-1972 Cine 18 de julio
166,RENEGADO VENGADOR (Chato's land),Western,Charles Bronson,Jack Palance,Richard Basehart,Michael Winer,1971,Color,DVD,
168,ROJO PROFUNDO,Suspenso,David Hemmings,Nacha Meril,Daria Nicolodi,Dario Argento,1975,Color,DVD,"Un vidente con capacidad para leer la mente de las personas capta los pensamientos de un asesino en una conferencia. Un panista inglés envuelto en una serie de asesinatos consigue convencerlo para que solucione el caso, pero sus investigaciones  son obstaculizadas por nuevos crímenes y empieza a preguntarse por que el asesino puede seguir sus movimientos tan de cerca.
  Fecha de estreno en Montevideo: 6-02-1976"
169,MICKEY Y LAS HABICHUELAS MAGICAS,Dibujos Animados,Mickey Mouse,Donald Duck,Goofy,Bill Roberts,1947,Color,DVD,"2-01-1950 Coventry.
 Formaba parte de la película Fun and Fancy Free junto al corto Bongo.
 Voces originales
 Walt Disney……..Mickey
 Clarence Nash….Donald
 Pinto Colvig……..Goofy
 Billy Gilbert………Wllie, el Gigante.
  Fue la última película en que Walt Disney dio su voz a Mickey."
170,LOS CABALLEROS DE LA CAMA REDONDA,Comedia,Alberto Olmedo,Jorge Porcel,Tristán,Gerardo Sofovich,1973,Color,DVD,"17-05-1973 Plaza
Los empleados de una zapateria deciden alquilar un departamento para vivir encuentros amorosos."
171,PECADOS DE GUERRA,Drama,Michael J. Fox,Sean Penn,Don Harvey,Brian de Palma,1989,Color,DVD,31-05-1990 Nuevo Ambassador
172,HABIA UNA VEZ UN ESPIA,Ciencia Ficción,Christopher Lee,Ted Danson,Eleanor Parker,Ivan Nagy,1980,Color,DVD,
173,LAS MINAS DE SALOMON REY,Comica,Rolo Puente,Tristán,Susana Traverso,Gerardo Sofovich,1986,Color,DVD,"29-01-1987 Grand Splendid
Un playboy millonario regala un tapado de piel a una de sus dos novias, paro la otra lo encuentra y se cree que es para ella.
Comedia menor y divertida."
174,EL JINETE PALIDO,Western,Clint Eastwood,Michael Moriarty,Carrie Snodgrass,Clint Eastwood,1985,Color,DVD,
175,EL MAGO DE OZ,Musical,Judy Garland,Bert Lahar,Jack Haley,Victor Fleming,1939,Color,DVD,
176,DURO DE AGUANTAR,Comedia,Michael J. Fox,James Woods,Annabella Sciorra,John Badham,1991,Color,DVD,
177,EL HALCON Y LA FLECHA,Aventuras,Burt Lancaster,Virginia Mayo,Nick Cravat,Jacques Tourneur,1950,Color,DVD,
178,LAS AVENTURAS DE TOM SAWYER/EL RETORNO DE…,Aventuras,Walter Brennan,Tommy Kelly,Jackie Moran,Norman Taurog,1938,Color,DVD,
179,RUMBO A BALI,Comica,Bob Hope,Bing Crosby,Dorothy Lamour,Hal Walker,1953,Color,DVD,
180,EL PROFESOR CHIFLADO,Comedia,Jerry Lewis,Stella Stevens,Del Moore,Jerry Lewis,1963,Color,DVD,Fecha de estreno en Montevideo: 3-07-1964. 18 de julio
181,EL ZORRO Y LA DUQUESA,Western,Goldie Hawn,George Segal,Roy Jenson,Melvin Frank,1976,Color,DVD,
182,EL SECRETO DE MI ÉXITO,Comedia,Michael J. Fox,Helen Slater,Richard Jordan,Herbert Ross,1987,Color,DVD,
183,TOM SAWYER,Familiar,Johnny Whitaker,Celeste Holm,Warren Oates,Don Taylor,1973,Color,DVD,Fecha de estreno en Montevideo: 19 de diciembre de 1974.
184,EL FANTASMA DEL ZORRO (Serial),Western,Clayton Moore,Pamela Blake,Roy Barcroft,Fred Brannon,1949,ByN,DVD,
185,AYER FUE PRIMAVERA,Drama,Roberto Escalada,Analía Gadé,Duilio Marzio,Fernando Ayala,1955,B&N,DVD,"Fecha de estreno en Montevideo: 23-03-1956 Cine Plaza.
Exhibiciones regulares desde 8-05-1956 Cine Central.
  Tras la muerte de su esposa un hombre trata de revivir su pasado con la sospecha que ella le ha sido infiel."
186,BATMAN,Aventuras,Michael Keaton,Jack Nicholson,Kim Basinger,Tim Burton,1989,Color,DVD,
187,EL HIJO DE LA FURIA,Aventuras,Tyrone Power,Gene Tierney,George Sanders,John Cromwell,1942,B&N,DVD,Fecha de estreno en Montevideo:25-06-1942. Ambassador
188,EL MOTIN DEL CAINE,Drama,Humphrey Bogart,Fred MacMurray,Van Johnson,Edward Dmytryk,1954,Color,DVD,
189,HUIDA HACIA EL SOL,Aventuras,Richard Widmark,Trevor Howard,Jane Greer,Roy Boulting,1956,Color,DVD,"Fecha de estreno en Montevideo:28-03-1957 Censa
   Mike (Widmark) es un novelista aventurero que pasa una temporada en algún lugar de Centro América en busca de experiencias que trasladar después a sus novelas. Un día llega en su búsqueda la reportera de una revista llamada Katie (Jane Greer) para hacerle una entrevista y comprobar como el escritor pasa sus dias en un pequeño albergue en medio de la selva. Mike se enamora pronto de Katie y cuando ella necesita viajar a ciudad de México el aprovecha la ocasión para ofrecese para llevarla en avioneta. Pero durante el vuelo sufrirán un accidente y aterrizarán forzosamente en medio de la jungla. Desorientados, encontrarán un refugio donde vive el enigmático Sr Browne (Trevor Howard), quien tiene un motivo secreto para encontrarse en medio de la selva y no desea arriesgarse que sea descubierto por sus nuevos huéspedes…"
190,VACACIONES EN NAVIDAD,Comedia,Chevy Chase,Beverly D'angelo,Randy Quaid,Jeremiah S. Chechik,1989,Color,DVD,
192,40 RIFLES PARA PASO APACHE,Western,Audie Murphy,Michael Burnes,Kenneth Tobey,William Witney,1967,Color,DVD,"En el territorio de Arizona se libra una batalla entre las tropas de la caballería y la tribu apache que está dispuesta a expulsar a todos los habitantes blancos. Acorralado en esa tierra se encuentra un destacamento.La única esperanza es un envío de 40 rifles de repetición que llegarán a Paso Apache…
Estreno en Montevideo: 4 de noviembre de 1968,Central, con el título de ""Rifles de Revancha"""
193,ALMAFUERTE,Drama,Narciso Ibañez Menta,Juan Bono,Federico Mansilla,Luis Cesar Amadori,1949,B&N,DVD,"17-01-1950 California
La vida de Pedro Palacios ""Almafuerte""."
194,ZORRO,Western,Alain Delon,Stanley Baker,Ottavia Piccolo,Duccio Tessari,1976,Color,DVD,
195,LAS CUATRO PLUMAS,Aventuras,Beau Bridges,Robert Powel,Jane Seymour,Don Sharp,1977,Color,DVD,
196,LA MARCA DE LA HORCA,Western,Clint Eastwood,Inger Stevens,Ed Begley Jr,Ted Post,1968,Color,DVD,
197,EL DIA QUE PARALIZARON LA TIERRA,Ciencia Ficción,Michael Rennie,Patricia Neal,Hugh Marlowe,Robert Wise,1951,ByN,DVD,Fecha de estreno en Montevideo: 1-07-1952. Victory
198,BALLET JIMENA 1989/90=FIESTA 6° 1991,Documental,Jimena Rodriguez,Escenas Ballet,Fiesta 6º año,Familiar,1991,Color,DVD,
199,BAMBI,Dibujos Animados,Hardie Albright,Peter Behn,Sam Edwards,David Hand,1942,Color,DVD,
200,LA DAMA DESCONOCIDA,Cine Negro,Franchot Tone,Ella Raines,Alan Curtis,Robert Siodmak,1944,B&N,DVD,"Fecha de estreno en Montevideo 10-08-1944. Cine Radio City
Una noche en que regresa tarde a su casa Scott encuentra asesinada a su mujer. Dado que no triene coartada la policía lo detiene como presunto culpable. Entonces entrará en juego su secretaria, una joven secretamente enamorada de él, que le ayudará a encontrar el verdadero criminal."
201,GRINGO VIEJO,Western,Gregory Peck,Jane Fonda,Jimmy Smits,Luis Puenzo,1989,Color,DVD,
202,LA SOCIEDAD DE LOS POETAS MUERTOS,Drama,Robin Williams,Robert S. Leonard,Ethan Hawke,Peter Weir,1989,Color,DVD,
203,MILAGRO EN LA CALLE 8,Ciencia Ficción,Jessica Tandy,Hume Cronyn,Frank Mc Rae,Matthews Robin,1987,Color,DVD,
204,SEDUCCION DE DOS LUNAS,Drama,Sherilyn Fenn,Richard Tyson,Louise Fletcher,Zalman King,1998,Color,DVD,
205,BIOGRAFIAS,Documental,Biografías de,"J.E.Rodó,Belloni y",Juana de Ibarbourou,C.Ed.Primaria,,Color,DVD,
206,EL LLANERO SOLITARIO Y LA CIUDAD PERDIDA,Western,Clayton Moore,Jay Silverhees,Charles Watts,Lesley Selander,1958,Color,DVD,08-12-1958 Central
207,EL DESFILADERO DEL COBRE,Western,Ray Milland,Hedy Lamarr,MacDonald Carey,John Farrow,1949,Color,DVD,"El ganador del Oscar ® Ray Milland y la bella Hedy Lamarr (Sanson y Dalila) interpretan este interesante western. La acción se ubica tiempo después de finalizada la guerra de secesión. Miland interpreta a John Carter, un experto tirador que se ha dedicado al mundo del espectáculo y que trata de escapar de su pasado como héroe del ejército confederado. Pero cuando algunos mineros, viejos confederados, necesitan protección frente a unos mineros y agentes corruptos que intentan apoderarse de Copper Canyon, Johnny se decide a luchar por la justicia y de paso ganarse el corazón de la belleza del pueblo (Hedy Lamarr, claro…)"
208,EL CISNE NEGRO,Aventuras,Tyrone Power,Maureen O'Hara,Thomas Mitchell,Henry King,1942,Color,DVD,
209,PERFUME DE MUJER,Drama,Al Pacino,Chris O' Donnell,James Rebhorn,Martin Brest,1992,Color,DVD,
210,MURDER AT THE BASKERVILLES,Policial,Arthur Wonter,Ian Fleming,Lyn Harding,Thomas Bentley,1937,B&N,DVD,No estrenada en salas en Montevideo.
211,LA DAMA DE SHANGHAI,Drama,Orson Welles,Rita Hayworth,Everett Sloane,Orson Welles,1948,ByN,DVD,01-07-1948 Radio City
212,LOS IMPERDONABLES,Western,Clint Eastwood,Gene Hackman,Morgan Freeman,Clint Eastwood,1992,Color,DVD,"21-11-1992 trocadero, Montevideo Shopping"
213,EL ULTIMO DE LOS MOHICANOS,Western,Daniel Day Lewis,Madeleine Stowe,Rusell Means,Michael Mann,1992,Color,DVD,23-04-1993 Trocadero
214,HALCON,Drama,Sylvester Stallone,Robert Loggia,Susan Blakely,Manahem Golam,1986,Color,DVD,"16-04-1987 Plaza
  Un camionero busca recuperar el amor de su hijo que está internado en un colegio militar."
215,LA SOGA,Suspenso,James Stewart,John Dall,Phillip Morgan,Alfred Hitchcock,1948,Color,DVD,21-05-1951 Plaza
216,KING KONG,Aventuras,Jeff Bridges,Jessica Lange,Charles Grodin,John Guillermin,1976,Color,DVD,
218,CAYO LARGO,Policial,Humphrey Bogart,Edward Robinson,Lauren Bacall,John Huston,1948,ByN,DVD,"13-06-1951 Iguazú, Central
 Título local: Huracán de Pasiones."
219,ASEDIO EN RIO ROJO,Western,Van Johnson,Joanne Dru,Richard Boone,Rudolph Mate,1954,Color,DVD,
220,UNA PISTOLA PARA UN COBARDE,Western,Fred MacMurray,Jeffrey Hunter,Janice Rule,Abner Biberman,1956,Color,DVD,"Dentro de una familia se desarrolla una historia violenta.
  14-01-1958 Rex"
221,CARA A LA MUERTE,Western,Dana Andrews,Piper Laurie,Rex Reason,Jerry Hopper,1955,Color,DVD,17-04-1956 Eliseo
222,LA PUERTA DEL DIABLO,Western,Louis Calhern,Paula Raymond,Marshall Thompson,Anthony Mann,1950,B&N,DVD,
223,PASO AL NOROESTE,Western,Spencer Tracy,Robert Young,Walter Brennan,King Vidor,1940,Color,DVD,
224,JUBAL,Western,Glenn Ford,Ernest Borgnine,Rod Steiger,Delmer Daves,1956,Color,DVD,
225,LAS FURIAS,Western,Barbara Stanwyck,Wendell Corey,Walter Huston,Anthony Mann,1950,B&N,DVD,
226,RIO SIN RETORNO,Western,Robert Mitchum,Marilyn Monroe,Rory Calhoun,Otto Preminger,1954,Color,DVD,
227,SANGRE EN LA LUNA,Western,Robert Mitchum,Barbara Bel Geddes,Robert Preston,Robert Wise,1948,B&N,DVD,
228,CUATRO CARAS AL OESTE,Western,Joel McCrea,Frances Dee,Charles Bickford,Alfred Green,1948,B&N,DVD,
229,SHENANDOAH,Western,James Stewart,Doug McClure,Patrick Wayne,Andrew V McLagen,1965,Color,DVD,
230,GANADORES,Drama,Gene Hackman,Barbara Hershey,Denis Hooper,David Anspaugh,1986,Color,DVD,22-10-1987 18 de Julio.y  Un entrenador con una historia de éxitos y fracasos llega a un peuqeño Colegio para dirigir el equipo de basqueetbol que competirá en el torneo del estado.
232,RAIMAN,Drama,Dustin Hoffman,Tom Cruise,Valeria Godino,Barry Levinson,1988,Color,DVD,
234,DUELO AL SOL,Western,Gregory Peck,Jennifer Jones,Joseph Cotten,King Vidor,1947,Color,DVD,"19-07-1950 Grand Palace, California, Luxor"
235,POR AMOR O POR DINERO,Comedia,Michael J. Fox,Gabrielle Anwar,Anthony Higgins,Barry Sonnefeld,1993,Color,DVD,23-10-1993 Cinemetro 2
236,PACTO DE SANGRE,Cine Negro,Fred MacMurray,Barbara Stanwyck,Edward Robinson,Billy Wilder,1944,ByN,DVD,1-03-1945 Ambassador
237,NACE UNA ESTRELLA,Drama,Judy Garland,James Mason,Chales Bickford,George Cukor,1954,Color,DVD,2-05-1956 Iguazú
238,LOS TRES MOSQUETEROS,Aventuras,Charlie Sheen,Kiefer Sutherland,Chris O'Donnell,Stephen Heek,1993,Color,DVD,"14-01-1994 Trocadero,Montevideo Shopping"
239,LA PANTERA ROSA,Comedia,David Niven,Peter Sellers,Robert Wagner,Blake Edwards,1964,Color,DVD,4-04-1964 Plaza
240,ERASE UNA VEZ EN EL OESTE,Western,Henry Fonda,Claudia Cardinale,Jason Robards,Sergio Leone,1968,Color,DVD,16-10-1970 18 de julio
241,EL CRUCIFIJO DE SANGRE,Policial,Charlton Heston,Richard Johnson,Susana Harket,Fraser Heston,1991,Color,DVD,4-02-2003 Cine Universitario
242,PHILADELFIA,Drama,Tom Hanks,Denzel Washington,Jason Robards Jr,Jonathan Demme,1993,Color,DVD,15-04-1994 Trocadero Gamma
243,EL TESORO DE LA SIERRA MADRE,Aventuras,Humphrey Bogart,Walter Huston,Tim Holt,John Huston,1948,ByN,DVD,3-06-1949 California
244,EL GRAN SUEÑO(AL BORDE DEL ABISMO),Policial,Humphrey Bogart,Laurenn Bacall,John Ridgely,Howard Hawks,1946,ByN,DVD,17-07-1947 Coventry
